epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7561,1.41893,4.22266,1.43027,0.00306,0.34936,0.00624,0.00277,1.04296,4.15308,1.26461,7e-05,7e-05,7e-05
2,73.7954,1.16584,3.92837,1.25929,0.00504,0.50614,0.05742,0.04275,0.71099,3.89251,0.99643,0.000148515,0.000148515,0.000148515
3,108.024,0.92055,3.41623,1.09009,0.00663,0.6175,0.08873,0.07003,0.614,3.71546,0.89165,0.000225446,0.000225446,0.000225446
4,142.669,0.77422,2.99266,1.00228,0.00888,0.75911,0.11275,0.08962,0.60036,3.47874,0.87296,0.000300793,0.000300793,0.000300793
5,177.117,0.64659,2.66406,0.96041,0.94604,0.04167,0.16992,0.14519,0.53579,3.19911,0.85168,0.000374556,0.000374556,0.000374556
6,212.203,0.67835,2.3491,0.97554,0.87085,0.11396,0.27989,0.24099,0.55075,2.93164,0.86712,0.000446735,0.000446735,0.000446735
7,247.779,0.59966,2.2316,0.91855,0.60841,0.2902,0.32544,0.28447,0.54473,2.70206,0.86462,0.00051733,0.00051733,0.00051733
8,282.615,0.57622,2.1411,0.92339,0.63608,0.34058,0.38614,0.34171,0.52768,2.48118,0.85929,0.000586341,0.000586341,0.000586341
9,317.985,0.5757,1.93674,0.90199,0.53461,0.34629,0.43865,0.38932,0.49666,2.24827,0.84993,0.000653768,0.000653768,0.000653768
10,353.981,0.54814,1.84044,0.92591,0.52656,0.38258,0.45365,0.40135,0.50308,2.13169,0.84482,0.000719611,0.000719611,0.000719611
11,389.743,0.58627,1.94802,0.90542,0.54449,0.45481,0.49125,0.43199,0.48816,2.09127,0.83505,0.00078387,0.00078387,0.00078387
12,425.698,0.53574,1.77693,0.90828,0.56596,0.46568,0.49744,0.43468,0.49327,2.08196,0.83919,0.000846545,0.000846545,0.000846545
13,462.044,0.6197,1.87561,0.91677,0.56468,0.43463,0.50996,0.45721,0.45219,2.03672,0.83135,0.0008812,0.0008812,0.0008812
14,499.226,0.5348,1.61272,0.90396,0.68347,0.49591,0.60589,0.54789,0.44543,1.63818,0.82887,0.0008713,0.0008713,0.0008713
15,537.274,0.52477,1.6398,0.91649,0.74702,0.55612,0.63824,0.57542,0.45438,1.54838,0.83084,0.0008614,0.0008614,0.0008614
16,574.765,0.51181,1.52121,0.90427,0.72603,0.53389,0.6099,0.55241,0.44434,1.60166,0.83353,0.0008515,0.0008515,0.0008515
17,613.401,0.49546,1.52818,0.89232,0.48934,0.56851,0.60482,0.53734,0.43263,1.52653,0.83232,0.0008416,0.0008416,0.0008416
18,651.383,0.49235,1.5454,0.87632,0.48937,0.66901,0.6496,0.58536,0.4211,1.57181,0.83053,0.0008317,0.0008317,0.0008317
19,689.331,0.46276,1.34314,0.86955,0.57089,0.63249,0.68422,0.62519,0.40907,1.64767,0.81903,0.0008218,0.0008218,0.0008218
20,727.694,0.47166,1.28485,0.89977,0.57457,0.712,0.73091,0.66455,0.41308,1.42182,0.81866,0.0008119,0.0008119,0.0008119
21,765.367,0.49036,1.40542,0.89036,0.78231,0.74065,0.81975,0.74171,0.41093,1.28447,0.81959,0.000802,0.000802,0.000802
22,803.286,0.48079,1.19941,0.86885,0.84806,0.76639,0.85741,0.77005,0.4117,1.26353,0.81508,0.0007921,0.0007921,0.0007921
23,841.464,0.44833,1.17164,0.86392,0.77999,0.79539,0.85403,0.78201,0.37265,1.20588,0.80917,0.0007822,0.0007822,0.0007822
24,879.597,0.46472,1.12701,0.85319,0.85476,0.8115,0.87961,0.80605,0.37016,1.06742,0.81034,0.0007723,0.0007723,0.0007723
25,917.825,0.43342,1.10312,0.85665,0.85988,0.80229,0.8839,0.80745,0.37694,1.08546,0.81274,0.0007624,0.0007624,0.0007624
26,956.657,0.44261,1.14983,0.86276,0.88068,0.80723,0.88539,0.79683,0.3757,1.07755,0.80968,0.0007525,0.0007525,0.0007525
27,994.301,0.42792,1.04608,0.85523,0.93223,0.80992,0.89829,0.8191,0.37332,1.07208,0.80604,0.0007426,0.0007426,0.0007426
28,1032.02,0.41093,1.01659,0.85782,0.90234,0.84586,0.92319,0.85501,0.3548,1.0596,0.80416,0.0007327,0.0007327,0.0007327
29,1069.55,0.42541,1.11242,0.87781,0.93284,0.83059,0.94162,0.88699,0.33769,1.02426,0.80245,0.0007228,0.0007228,0.0007228
30,1108.07,0.40444,1.04871,0.86357,0.95079,0.84355,0.95057,0.88933,0.32759,0.96749,0.80381,0.0007129,0.0007129,0.0007129
31,1145.92,0.40459,1.03151,0.87038,0.90801,0.87042,0.95244,0.88464,0.33221,0.93637,0.8046,0.000703,0.000703,0.000703
